,host_verifications,email,phone,reviews,jumio,government_id,offline_government_id,selfie,identity_manual,facebook,sent_id,work_email,manual_offline,google,photographer,manual_online,kba,zhima_selfie,weibo,sesame,sesame_offline
19,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
25,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,"['email', 'phone']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
36,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
37,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'sent_id', 'government_id']",1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
46,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id']",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47,"['phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
48,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
51,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
58,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
60,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63,"['email', 'phone', 'reviews', 'jumio']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
66,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
67,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,"['email', 'phone', 'google', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,"['email', 'phone', 'reviews', 'offline_government_id', 'government_id']",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"['email', 'phone', 'facebook', 'reviews', 'work_email']",1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
85,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
86,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
92,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"['email', 'phone', 'reviews', 'work_email']",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,"['email', 'phone', 'reviews', 'work_email']",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,"['email', 'phone', 'reviews', 'work_email']",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id']",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
100,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
105,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
108,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
109,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
112,"['email', 'phone', 'facebook', 'google', 'reviews', 'sent_id']",1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
113,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
118,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
121,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
127,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
128,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
132,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
133,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
134,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
137,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
138,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
139,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'sent_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
143,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
144,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'sent_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
145,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'sent_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
146,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
151,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,"['email', 'phone', 'facebook', 'reviews']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
159,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
160,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'photographer']",1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
161,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
163,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
165,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,"['email', 'phone', 'reviews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
171,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']",1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
172,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
